M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   |   |   before NldfgBuild : Initial setup M=1568.27mb, Malloc-M=472mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Initial setup M=1568.27mb, Malloc-M=473mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph M=1568.27mb, Malloc-M=473mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph M=1568.27mb, Malloc-M=473mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   before NldfgBuild : Create terminal sinks and sources M=1568.27mb, Malloc-M=473mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Create terminal sinks and sources M=1568.27mb, Malloc-M=473mb, Available-M=679mb, T=0s CPU=0.01s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   before NldfgBuild : Compute dependencies M=1568.27mb, Malloc-M=473mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute dependencies M=1568.27mb, Malloc-M=473mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   before NldfgBuild : Compute combinational SCCs M=1568.27mb, Malloc-M=473mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute combinational SCCs M=1568.27mb, Malloc-M=473mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   before NldfgBuild : Compute templates M=1568.27mb, Malloc-M=473mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute templates M=1568.27mb, Malloc-M=474mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   before NldfgBuild : Eliminate combinational SCCs M=1568.27mb, Malloc-M=474mb, Available-M=679mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Eliminate combinational SCCs M=1568.27mb, Malloc-M=474mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   before NldfgBuild : Computing sequential SCCs M=1568.27mb, Malloc-M=474mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Computing sequential SCCs M=1568.27mb, Malloc-M=474mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   before NldfgBuild : Create simulator clocks, changeAts and Triggers M=1568.27mb, Malloc-M=474mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   after  NldfgBuild : Create simulator clocks, changeAts and Triggers M=1568.27mb, Malloc-M=474mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
STATS:: |   |   |   |   |   before NldfgBuild : SymSimulator Analysis and computation M=1568.27mb, Malloc-M=474mb, Available-M=680mb, T=0s CPU=0s W=(2023-11-26 02:16:28)
